Level1,Level2,Level3,Federal,State,Local
0-9, *,3D-grafiker,6,0,0
0-9, *,Systemadministratör,7,0,0
0-9, *,Svetsare; manuell,26,0,0
0-9, *,Speldesigner,6,0,0
0-9, *,Servitör/Servitris,6,0,0
0-9, *,SQE Supplier Quality Engineer,7,0,0
0-9, *,Revisor,7,0,0
0-9, *,Restaurangchef,6,0,0
0-9, *,Rekryterare/Rekryteringskonsult,5,0,0
0-9, *,Redovisningsekonom,5,0,0
0-9, *,Receptionist; telefonist,5,0,0
0-9, *,Systemutvecklare/Programmerare,42,0,0
0-9, *,Projektledare; reklam,8,0,0
0-9, *,Programmerare; onlinespel,24,0,0
0-9, *,Programmerare; mobilspel,6,0,0
0-9, *,Produktutvecklare,12,0,0
0-9, *,Produktionsingenjör; maskin,7,0,0
0-9, *,Produktionschef; tillverkning,9,0,0
0-9, *,Personalchef/HR-chef,6,0,0
0-9, *,Personalansvarig,8,0,0
0-9, *,Optiker,29,0,0
0-9, *,Montör; metallprodukter,10,0,0
0-9, *,Mjukvaruutvecklare,14,0,0
0-9, *,Programmerare; webbspel,8,0,0
0-9, *,Mediasäljare,8,0,0
0-9, *,Säljassistent,6,0,0
0-9, *,Teamledare,25,0,0
0-9,_,Vårdare/Arbetshandledare/Boendestödjare,6,0,0
0-9,_,Städare/Lokalvårdare,15,0,0
0-9,7242270,Kontorsreceptionist,7,0,0
0-9,7233939,Administrativ assistent,5,0,0
0-9,7-9,Lärare i grundskolan; årskurs 7-9,14,0,0
0-9,3d,Systemutvecklare/Programmerare,5,0,0
0-9,21070243,Översättare,7,0,0
0-9,21066448,Psykolog,5,0,0
0-9,18,Tidningsbud/Tidningsdistributör,5,0,0
0-9,18,Kundtjänstmedarbetare,6,0,0
0-9, *,Säljkonsulent,33,0,0
0-9,.net,Systemutvecklare/Programmerare,34,0,0
0-9,-framtiden,Systemutvecklare/Programmerare,23,0,0
0-9,-embedded,Systemutvecklare/Programmerare,23,0,0
0-9,-academic,Systemutvecklare/Programmerare,23,0,0
0-9,-.net,Systemutvecklare/Programmerare,23,0,0
0-9, *,Webbansvarig/Webbstrateg,8,0,0
0-9, *,Utesäljare,68,0,0
0-9, *,Universitets- och högskoleadjunkt,6,0,0
0-9, *,Träarbetare/Snickare,6,0,0
0-9, *,Truckförare,12,0,0
0-9, *,Telefonförsäljare,59,0,0
0-9,.NET,Systemutvecklare/Programmerare,9,0,0
0-9, *,Marknadskommunikatör,11,0,0
0-9,_,Personlig assistent,80,0,0
0-9, *,Marknadsassistent,6,0,0
0-9, *,Doktorand,6,0,0
0-9, *,Designer,6,0,0
0-9, *,Demonstratör,39,0,0
0-9, *,Copywriter,8,0,0
0-9, *,Civilingenjör; teknisk fysik,6,0,0
0-9, *,Civilingenjör; konstruktion; elektronik,7,0,0
0-9, *,CNC-operatör/FMS-operatör,19,0,0
0-9, *,Butikssäljare; fackhandel,64,0,0
0-9, *,Butikssäljare/Medarbetare; dagligvaror,11,0,0
0-9, *,Butiksdemonstratör,85,0,0
0-9, *,Ekonomiassistent,17,0,0
0-9, *,Butikschef,10,0,0
0-9, *,Biokemist,7,0,0
0-9, *,Besöksbokare/Kundbokare,5,0,0
0-9, *,Barista/Kaffebartender,7,0,0
0-9, *,Backend-utvecklare,6,0,0
0-9, *,Avdelningschef; butik,8,0,0
0-9, *,Applikationsutvecklare/Apputvecklare,7,0,0
0-9, *,Affärsutvecklare,14,0,0
0-9, *,Administrativ assistent,20,0,0
0-9, *,Marknadsförare,33,0,0
0-9, *,Account manager,64,0,0
0-9, *,Business controller,20,0,0
0-9, *,Ekonomichef,8,0,0
0-9, *,Abonnemangsförsäljare,9,0,0
0-9, *,Farmaceut/Receptarie,6,0,0
0-9, *,Lagerarbetare,12,0,0
0-9, *,Eventsäljare/Eventförsäljare,21,0,0
0-9, *,Kvalitetsingenjör/-tekniker; kemiteknik,7,0,0
0-9, *,Kundtjänstmedarbetare,55,0,0
0-9, *,Kock; à la carte,7,0,0
0-9, *,Key account manager,32,0,0
0-9, *,Journalist/Reporter,7,0,0
0-9, *,Innesäljare,51,0,0
0-9, *,Inköpsingenjör,6,0,0
0-9, *,Inköpare,20,0,0
0-9, *,Informatör/Kommunikatör,17,0,0
0-9, *,IT-strateg,7,0,0
0-9, *,Hemförsäljare,95,0,0
0-9, *,Internationell säljare,10,0,0
0-9, *,Grafisk formgivare,6,0,0
0-9, *,Helpdesktekniker/Supporttekniker,7,0,0
0-9, *,Fordonstekniker/Bilmekaniker/Personbilsmekaniker,6,0,0
0-9, *,Forskningslaborant; kemi,7,0,0
0-9, *,Frisör,12,0,0
0-9, *,Fysiker,24,0,0
0-9, *,Frontend-utvecklare,7,0,0
0-9, *,Financial controller,12,0,0
0-9, *,Försäljningschef,16,0,0
0-9, *,Försäljningsassistent,5,0,0
0-9,"""Incident Manager""",Processansvarig; ITIL,5,0,0
0-9,"""arena personal""",Kundtjänstmedarbetare,6,0,0
0-9,"""arena personal""",Lagerarbetare,7,0,0
a,alla jobb,Städare/Lokalvårdare,5,0,0
a,analytiker,Marknadsanalytiker,5,0,0
a,allt,Fotograf,5,0,0
a,alla jobb,Personlig assistent,5,0,0
a,administratör,Utbildningsadministratör/Utbildningssekreterare,27,0,0
a,albanska,Modersmålslärare i grundskolan,10,0,0
a,alarm,Hemförsäljare,5,0,0
a,ahlsell,Butikssäljare; fackhandel,5,0,0
a,administratör,Utbildningskonsulent; företag,5,0,0
a,administratör,Tulltjänsteman,5,0,0
a,analytiker,Verksamhetsanalytiker,21,0,0
a,ale göteborg,Träarbetare/Snickare,7,0,0
a,andraspråk,Lärare i grundskolan; årskurs 7-9,8,0,0
a,arabiska,Informatör/Kommunikatör,9,0,0
a,andraspråk,SFI-lärare,13,0,0
a,angered,Jobbcoach/Utbildningscoach,10,0,0
a,anläggningsansvarig,Butikssäljare; fackhandel,7,0,0
a,apotea,Handpaketerare,7,0,0
a,apoteks,Farmaceut/Apotekare,12,0,0
a,arabiska,Administrativ assistent,22,0,0
a,arabiska,Butikssäljare/Medarbetare; dagligvaror,9,0,0
a,arabiska,Butikssäljare; fackhandel,8,0,0
a,arabiska,Eventsäljare/Eventförsäljare,7,0,0
a,arabiska,Föreningsinstruktör,5,0,0
a,arabiska,Hälsopedagog,10,0,0
a,administratör,Transportadministratör,5,0,0
a,arabiska,Institutionssekreterare,5,0,0
a,arabiska,Internationell säljare,5,0,0
a,andraspråk,Lärare i gymnasiet,14,0,0
a,administratör,Systemadministratör,9,0,0
a,administratör,Ekonomiassistent,19,0,0
a,administratör,Receptionist; telefonist,7,0,0
a,adecco,Administrativ assistent,12,0,0
a,adecco,Lärare i grundskolan; årskurs 4-6,6,0,0
a,adecco,Personlig assistent,5,0,0
a,adecco,Sjuksköterska; grundutbildad,5,0,0
a,administration,Administrativ assistent,65,0,0
a,administration,Backofficepersonal,12,0,0
a,administration,Ekonomiassistent,6,0,0
a,administration,Kontorist,7,0,0
a,administration,Kontorsreceptionist,6,0,0
a,administration,Kundtjänstmedarbetare,14,0,0
a,administration,Löneadministratör,6,0,0
a,administration,Orderadministratör,6,0,0
a,administration,Receptionist; telefonist,10,0,0
a,administrativ,Administrativ chef,10,0,0
a,administrativt,Administrativ assistent,6,0,0
a,administratör,Administrativ assistent,368,0,0
a,administratör,Administrativ utvecklare,7,0,0
a,administratör,Backofficepersonal,27,0,0
a,arabiska,Jobbcoach/Utbildningscoach,29,0,0
a,administratör,Frontofficepersonal,7,0,0
a,administratör,HR-assistent,7,0,0
a,administratör,HR-specialist/HR-adviser,5,0,0
a,administratör,Kontorist,14,0,0
a,administratör,Kontorsreceptionist,5,0,0
a,administratör,Kundtjänstmedarbetare,9,0,0
a,administratör,Läkarsekreterare/Vårdadmin/Medicinsk sekreterare,6,0,0
a,administratör,Löneadministratör,6,0,0
a,administratör,Orderadministratör,8,0,0
a,administratör,Personaladministratör/Personalassistent,20,0,0
a,administratör,Studieadministratör,18,0,0
a,arabiska,Kundtjänstmedarbetare,13,0,0
a,arabiska,Utbildningskoordinator,12,0,0
a,arabiska,Modersmålslärare/Modersmålspedagog,21,0,0
a,arlanda,Cateringarbetare,6,0,0
a,arlanda,Flygvärd/Flygvärdinna/Flygsteward,9,0,0
a,arlanda,Frukostvärd/Frukostvärdinna,9,0,0
a,arlanda,Hotellreceptionist,17,0,0
a,arlanda,Kock; storhushåll,5,0,0
a,arlanda,Kundtjänstmedarbetare,6,0,0
a,arlanda,Köksbiträde,8,0,0
a,arlanda,Lagerarbetare,17,0,0
a,arlanda,Planerare; flygbolag,8,0,0
a,arlanda,Rekryterare/Rekryteringskonsult,5,0,0
a,arlanda,Servitör/Servitris,23,0,0
a,arlanda,Städare/Lokalvårdare,5,0,0
a,arvid,Maskinoperatör; te-; kaffe- och kakaoberedning,8,0,0
a,arlanda,Butikssäljare; fackhandel,6,0,0
a,asian,Civilingenjör; konstruktion; maskin,14,0,0
a,asian,Kvalitetsingenjör/-tekniker; maskin,16,0,0
a,asian,Restaurangchef,6,0,0
a,asian,Utvecklingsingenjör; maskin,10,0,0
a,asih,Sjuksköterska; grundutbildad,6,0,0
a,assistans,Personlig assistent,54,0,0
a,assistant,Administrativ assistent,5,0,0
a,assistant,Personlig assistent,5,0,0
a,assistent,Administrativ assistent,27,0,0
a,assistent,Personlig assistent,381,0,0
a,attendo,Undersköterska; hemtjänst och äldreboende,7,0,0
a,audionom,Audionom,11,0,0
a,automation,Automationsingenjör; elkraft,5,0,0
a,automation,Automationsingenjör; maskin,13,0,0
a,asian,Kock; à la carte,6,0,0
a,arlanda,Butikssäljare/Medarbetare; dagligvaror,10,0,0
a,arlanda,Budbilsförare,13,0,0
a,arlanda,Biluthyrare,6,0,0
a,arabiska,Officer,17,0,0
a,arabiska,Personaladministratör/Personalassistent,6,0,0
a,arabiska,Personlig assistent,28,0,0
a,arabiska,Rekryterare/Rekryteringskonsult,11,0,0
a,arabiska,Socionom,6,0,0
a,arabiska,Studie- och yrkesvägledare,6,0,0
a,arabiska,Studieorganisatör,5,0,0
a,arabiska,Tolk,7,0,0
a,arabiska,Undersköterska; hemtjänst och äldreboende,9,0,0
a,arabiska,Universitets- och högskolelektor,13,0,0
a,arabiska,Utbildningsadministratör/Utbildningssekreterare,9,0,0
a,arabiska,Valutaförsäljare,11,0,0
a,arabiska,Verksamhetskonsult,14,0,0
a,arabiska,Vårdare/Arbetshandledare/Boendestödjare,7,0,0
a,arbetskonsulent,Behandlingsassistent/Socialpedagog,7,0,0
a,arbetskonsulent,Integrationshandläggare,5,0,0
a,arbetsledare,Arbetsledare; anläggning,7,0,0
a,arbetsledare,Arbetsledare; städ/Städledare,6,0,0
a,arbetsledare,Arbetsledare;trädgård/Trädgårdsanläggningsförman,7,0,0
a,arbetslivserfarenhet,Administrativ assistent,6,0,0
a,arbetsmarknadssekreterare,Behandlingsassistent/Socialpedagog,8,0,0
a,arbetsmiljösamordnare,Arbetsmiljöingenjör,6,0,0
a,arbetstid,Personlig assistent,12,0,0
a,accountant,Redovisningsekonom,5,0,0
a,arkiv,Administrativ assistent,7,0,0
a,arkiv,Arkivassistent,6,0,0
a,arkiv,Registrator,10,0,0
a,arlanda,Administrativ assistent,5,0,0
a,arlanda,Barista/Kaffebartender,11,0,0
a,arabiska,Modersmålslärare i grundskolan,61,0,0
a,arkeologi,Arkeolog,5,0,0
a,arabiska,HR-konsult/PA-konsult,8,0,0
a,Alla jobb,Orderadministratör,5,0,0
a,Alla jobb,Distributionsförare,5,0,0
a,Alla jobb,Kundtjänstmedarbetare,16,0,0
a,Alla jobb,Lagerarbetare,5,0,0
a,Attendo,Stödassistent,6,0,0
a,Anläggare,Väg-och anläggningsarbetare,6,0,0
a,AnnSam,Sjuksköterska; grundutbildad,9,0,0
a,Annas,Personlig assistent,7,0,0
a,"Apotekare, Farmaceut",Farmaceut/Receptarie,5,0,0
a,App utvecklare,Applikationsutvecklare/Apputvecklare,12,0,0
a,Arabiska,Jobbcoach/Utbildningscoach,7,0,0
a,Arabiska,Modersmålslärare i grundskolan,9,0,0
a,Arabiska,Personlig assistent,6,0,0
a,Alla jobb,Backofficepersonal,8,0,0
a,Arbetsledare,Arbetsledare; städ/Städledare,9,0,0
a,Arlanda,Budbilsförare,11,0,0
a,Arlanda,Butikssäljare/Medarbetare; dagligvaror,13,0,0
a,Arlanda,Butikssäljare; fackhandel,10,0,0
a,Arlanda,Controller,7,0,0
a,Arlanda,Flygvärd/Flygvärdinna/Flygsteward,8,0,0
